title,author,format,year,price,publisher,length,city/country,categories,description,ISBN
"Overlord, Vol. 15 (light novel)",Kugane Maruyama,Hardback,2023,2465.13,"Little, Brown & Company",390 pages,"New York, United States","['Adventure Books', 'Science Fiction', 'Science Fiction', 'Fantasy', 'Fantasy Books', 'Funny Books & Stories']","The Nation of Darkness continues to expand its territory, and in preparation for a potential looming war, the Slane Theocracy plans to overthrow the elven king. Unaware of this plot, Ainz heads to country of elves for vacation with Aura and Mare in hopes of helping them make new friends only to get caught in the political crossfire!show more",978-5259391934
The 48 Laws Of Power,Robert Greene,Paperback,2000,1894.64,Profile Books Ltd,480 pages,"London, United Kingdom","['Society & Culture: General', 'Sociology & Anthropology', 'Sociology', 'Political Science & Theory', 'Personal Development', 'Popular Psychology', 'Mind, Body & Spirit', 'Mind, Body, Spirit: Thought & Practice']","THE MILLION COPY INTERNATIONAL BESTSELLERDrawn from 3,000 years of the history of power, this is the definitive guide to help readers achieve for themselves what Queen Elizabeth I, Henry Kissinger, Louis XIV and Machiavelli learnt the hard way. Law 1: Never outshine the master Law 2: Never put too much trust in friends; learn how to use enemies Law 3: Conceal your intentions Law 4: Always say less than necessary. The text is bold and elegant, laid out in black and red throughout and replete with fables and unique word sculptures. The 48 laws are illustrated through the tactics, triumphs and failures of great figures from the past who have wielded - or been victimised by - power.___________________________________(From the Playboy interview with Jay-Z, April 2003)PLAYBOY: Rap careers are usually over fast: one or two hits, then styles change and a new guy comes along. Why have you endured while other rappers haven't?JAY-Z: I would say that it's from still being able to relate to people. It's natural to lose yourself when you have success, to start surrounding yourself with fake people. In The 48 Laws of Power, it says the worst thing you can do is build a fortress around yourself. I still got the people who grew up with me, my cousin and my childhood friends. This guy right here (gestures to the studio manager), he's my friend, and he told me that one of my records, Volume Three, was wack. People set higher standards for me, and I love it.show more",978-8679866060
Giraffes Can't Dance,Giles Andreae,Paperback,2014,861.3,Hachette Children's Group,32 pages,"London, United Kingdom","['Picture Books', 'Storybooks', 'Rhyming & Wordplay', 'Numbers & Counting', ""Children's Fiction"", 'Animal Stories']","Number One bestseller Giraffes Can't Dance from author Giles Andreae has been delighting children for over 20 years. Gerald the tall giraffe would love to join in with the other animals at the Jungle Dance, but everyone knows that giraffes can't dance . . . or can they?A funny, touching and triumphant picture book story about a giraffe who finds his own tune and confidence too, with joyful illustrations from Guy Parker Rees and a foiled cover.... wonderfully funny. - IndependentA fantastically funny and wonderfully colourful  romp of a picture book. All toddlers should grow up reading this or  hearing their parents read it aloud to them. - Daily TelegraphA joyful read about an outsider who finds  acceptance on his own terms.... there's also a simple moral about  tolerance and daring to be different. - Juniorshow more",978-3192820014
Marshall The Brave Knight,Andrea Mizzi,Paperback,2023,1003.15,Pegasus Elliot Mackenzie Publishers,26 pages,United Kingdom,['Animal Stories'],"As the weekend approaches, MARSHALL the meerkat wants to take his beloved robot kite out to play. Before Marshall sets out, Marshall recalls the 'five must dos' focusing on his personal safety and aided by his mother. Marshall remembers the 'five must dos' and at the same time becomes a fearless knight ready to conquer and ward off any fiery dragons or any perils that may lay ahead.This fable teaches children the importance of personal safety communicated through Marshall a curious and fun-loving meerkat and beautifully illustrated by the talented Dita Putri.This book has been designed to assist parents, caregivers and teachers to start the conversation with a child on how to respond when faced with an unsafe situation and in turn reducing the likelihood of a child entering into a dangerous setting. This book was compiled to equip children with the knowledge to make safe choices and decisions.It is with the knowledge and certainly that we can empower our children and in turn increase their confidence and resilience to explore and experience the world around us.Discussion points are available for parents, caregivers and teachers.show more",978-9124537387
The Invisible Life of Addie LaRue - Illustrated edition,V.E. Schwab,Hardback,2022,2347.43,Titan Books Ltd,560 pages,"London, United Kingdom","['Fantasy', 'Fantasy Books']","""For someone damned to be forgettable, Addie LaRue is a most delightfully unforgettable character, and her story is the most joyous evocation of unlikely immortality."" -Neil GaimanA beautiful illustrated edition of this genre-defying tour de force, featuring new artwork selected by V.E. Schwab, illustrated plate section, printed endpapers and exclusive jacket.When Addie La Rue makes a pact with the devil, she trades her soul for immortality. But there's always a price - the devil takes away her place in the world, cursing her to be forgotten by everyone.Addie flees her tiny home town in 18th-Century France, beginning a journey that takes her across the world, learning to live a life where no one remembers her and everything she owns is lost and broken. Existing only as a muse for artists throughout history, she learns to fall in love anew every single day.Her only companion on this journey is her dark devil with hypnotic green eyes, who visits her each year on the anniversary of their deal. Alone in the world, Addie has no choice but to confront him, to understand him, maybe to beat him.Until one day, in a second hand bookshop in Manhattan, Addie meets someone who remembers her. Suddenly thrust back into a real, normal life, Addie realises she can't escape her fate forever.show more",978-2967126238
The Obstacle is the Way,Ryan Holiday,Paperback,2018,1020.63,Profile Books Ltd,224 pages,"London, United Kingdom","['Macroeconomics', 'Macroeconomics', 'Business & Management', 'Advertising', 'Personal Development', 'Advice On Careers & Achieving Success']","OVER ONE MILLION COPIES SOLD#1 Wall Street Journal Bestseller'Follow these precepts and you will revolutionize your life.'  Steven Pressfield, author of The War of Art'A book for the bedside of every future - and current - leader in the world.' - Robert Greene, author of The 48 Laws of PowerThe Obstacle is the Way has become a cult classic, beloved by men and women around the world who apply its wisdom to become more successful at whatever they do.The book's many fans include a former governor and movie star (Arnold Schwarzenegger), a hip hop icon (LL Cool J), an Irish tennis pro (James McGee), the World Number 1 golfer (Rory McIlroy) and the coaches and players of winning teams like English Rugby National Team, the New England Patriots, Seattle Seahawks and Chicago Cubs.The book draws its inspiration from stoicism, the ancient Greek philosophy of enduring pain or adversity with perseverance and resilience. Stoics focus on the things they can control, let go of everything else, and turn every new obstacle into an opportunity to get better, stronger, tougher. As Marcus Aurelius put it nearly 2000 years ago: 'The impediment to action advances action. What stands in the way becomes the way.'Ryan Holiday shows us how some of the most successful people in history-from John D. Rockefeller to Amelia Earhart to Ulysses S. Grant to Steve Jobs-have applied stoicism to overcome difficult or even impossible situations. Their embrace of these principles ultimately mattered more than their natural intelligence, talents, or luck.If you're feeling frustrated, demoralized, or stuck in a rut, this book can help you turn your problems into your biggest advantages. And along the way it will inspire you with dozens of true stories of the greats from every age and era.show more",978-2437144934
Un-cook Yourself,Nat's What I Reckon,Paperback,2022,1480.56,Ebury Australia,272 pages,Australia,"['Assertiveness, Motivation & Self-esteem', 'Funny Books & Stories', 'Parodies & Spoofs']","Learn how to be a better d*ckhead with Nat’s deep and meaningful guide to life. Good onya, champ!Nat’s What I Reckon was the tattooed lockdown saviour we didn’t know we needed, rescuing us from packet food, jar sauce and total boredom with his hilarious viral recipe videos that got us cooking at home like champions again.Now that we’ve cooked our way out of lockdown and are wondering what the hell to do next, our favourite ratbag is back – and he’s ready to teach us more about life in this thoroughly unhelpful (but maybe actually kinda helpful?) self-help guide.show more",978-3977955284
Dark & Dramatic Mosaic Crochet,Alexis Sixel,Paperback,2023,1968.32,Page Street Publishing,176 pages,New York,"['Needlework & Fabric Crafts', 'Knitting & Crochet']","Mosaic crochet is such a fun way to create beautifully intricate colorwork patterns--from bold, graphic images to more delicate, dainty designs--all while only using single crochet and double crochet stitches, and without having to change colors in the middle of a row. While this may sound deceptively simple, this colorwork technique can be intimidating to beginner and experienced crocheters alike. Luckily for crafters everywhere, Alexis Sixel, creator of Sixel Design and mosaic crochet expert, is here to walk you through this exciting technique, step by colorful step.Begin with the basics as you learn to set up the necessary foundation rows, read mosaic charts and crochet the all-important border stitches. From there, Alexis will teach you how to let your stitches bloom into beautiful mosaic masterpieces, with thorough process photos for maximum clarity. From there, you'll be able to whip up eye-catching home décor and accessories like the Sun and Moon Accent Pillow, Climbing Vines Arm Warmers, Sanctuary Wall Art and many more! So step into the vibrant world of mosaic crochet, and stitch your way to a bold, beautiful home.show more",978-9724443979
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3,Mo Xiang Tong Xiu,Paperback,2022,1647.6,"Seven Seas Entertainment, LLC",416 pages,"West Hollywood, United States","['Fantasy', 'Fantasy Books', 'Romance', 'Romance Books', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga']","Wei Wuxian was once one of the most powerful men of his generation, a talented and clever young cultivator who harnessed martial arts and spirituality into powerful abilities. But when the horrors of war led him to seek more power through demonic cultivation, the world's respect for his abilities turned to fear, and his death was celebrated throughout the land.Years later, he awakens in the body of an aggrieved young man who sacrifices his soul so that Wei Wuxian can exact revenge on his behalf. Though granted a second life, Wei Wuxian is not free from his first, nor the mysteries that appear before him now. Yet this time, he'll face it all with the righteous and esteemed Lan Wangji at his side, another powerful cultivator whose unwavering dedication and shared memories of their past will help shine a light on the dark truths that surround them.This Chinese xianxia fantasy novel series built around the romanticized love between two men (danmei) has been translated into numerous languages and spawned a multimedia franchise that has taken the globe by storm, including the massively popular live-action series The Untamed available now on Netflix, YouTube, and more. The Seven Seas English-language edition will include exclusive, all-new covers from Jin Fang (jinzillaa), interior illustrations from Marina Privalova (BaoshanKaro), and a translation by Suika (yummysuika) with editor Pengie (pengiesama).show more",978-9998450247
Brain Energy,Christopher M. Palmer,Hardback,2022,2452.11,BenBella Books,320 pages,"Dallas, United States","['Physiological & Neuro-psychology, Biopsychology', 'Psychiatry', 'Neurosciences', 'Coping With Personal Problems', 'Coping With Illness']","We are in the midst of a global mental health crisis, and mental illnesses are on the rise. But what causes mental illness? And why are mental health problems so hard to treat? Drawing on decades of research, Harvard psychiatrist Dr. Chris Palmer outlines a revolutionary new understanding that for the first time unites our existing knowledge about mental illness within a single framework: Mental disorders are metabolic disorders of the brain.Brain Energy explains this new understanding of mental illness in detail, from symptoms and risk factors to what is happening in brain cells. Palmer also sheds light on the new treatment pathways this theory opens up - which apply to all mental disorders, including anxiety, depression, ADHD, alcoholism, eating disorders, bipolar disorder, autism, and even schizophrenia. Brain Energy pairs cutting-edge science with practical advice and strategies to help people reclaim their mental health.This groundbreaking book reveals:Why classifying mental disorders as ""separate"" conditions is misleading.The clear connections between mental illness and disorders linked to metabolism, including diabetes, heart attacks, strokes, pain disorders, obesity, Alzheimer's disease, and epilepsy.The link between metabolism and every factor known to play a role in mental health, including genetics, inflammation, hormones, neurotransmitters, sleep, stress, and traumaThe evidence that current mental health treatments, including both medications and therapies, likely work by affecting metabolism.New treatments available today that readers can use to promote long-term healing.Palmer puts together the pieces of the mental illness puzzle to provide answers and offer hope. Brain Energy will transform the field of mental health, and the lives of countless people around the world.show more",978-7632133393
Seven Days in June,Tia Williams,Paperback,2022,1099.28,Quercus Publishing,336 pages,"London, United Kingdom","['Contemporary Fiction', 'Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance']","A REESE WITHERSPOON BOOK CLUB PICKTHE INSTANT NEW YORK TIMES BESTSELLER (JUNE 2021)'A sexy, modern love story' Reese Witherspoon'I absolutely loved it' Jodi PicoultSeven days to fall in love, fifteen years to forget, and seven days to get it all back again...When Eva Mercy, a single mother and bestselling erotica writer, and the enigmatic, award-winning novelist Shane Hall meet at a literary event in New York,          sparks fly. But what no one knows is that fifteen years earlier, teenage Eva and Shane spent one week together, madly in love. While they may pretend to be strangers, they can't deny their chemistry.Over the next seven days, amidst a steamy Brooklyn summer, Eva and Shane reconnect. But Eva is wary of the man who broke her heart and wants Shane out of the city so her life can return to normal. Before he disappears, though, she needs a few questions answered . . .With its keen observations of creative life in America today, as well as the joys and complications of being a mother and a daughter, Seven Days in June is a hilarious, romantic, and sexy-as-hell story of two writers discovering their second chance at love.'Deliciously witty' Zoella Book Club'Hilarious, romantic and incredibly sexy' Hello!'An absolute page turner . . . exuding love, hope and desire' Evening Standard'Electric and alive' Kirkus'A captivating love story' Melan Mag'A vision of life as it truly is: complications and difficulties punctuated by profound joy' Rumaan Alamshow more",978-0600043487
Fleabag: The Scriptures,Phoebe Waller-Bridge,Paperback,2021,1775.48,Hodder & Stoughton,416 pages,"London, United Kingdom","['Film Scripts & Screenplays', 'Film Scripts & Screenplays', 'Television', 'Television', 'Television Scripts & Screenplays', 'Television Scripts & Screenplays', 'Plays, Playscripts']","The complete Fleabag. Every Word. Every Side-eye. Every Fox.Fleabag: The Scriptures includes the filming scripts and the never-before-seen stage directions from the Golden Globe, Emmy and BAFTA winning series.'Perfect' Guardian'Perfect' Daily Telegraph'Perfect' Stylist'Perfect' Independent'Perfect' Evening Standard'Perfect' Metro'Perfect' Irish Times'Perfect' RTE'Perfect' Spectator'Perfect' Refinery29'Perfect' Catholic Herald'Perfection' Financial Times***HAIRDRESSERNO.(pointing to Claire)That is EXACTLY what she asked for.FLEABAGNo it's not. We want compensation.HAIRDRESSERClaire?CLAIREI've got two important meetings and I look like a pencil.HAIRDRESSERNO. Don't blame me for your bad choices. Hair isn't everything.FLEABAGWow.HAIRDRESSERWhat?FLEABAGHair. Is. Everything. We wish it wasn't so we could actually think about something else occasionally. But it is. It's the difference between a good day and a bad day. We're meant to think that it is a symbol of power, a symbol of fertility, some people are exploited for it and it pays your fucking bills. Hair is everything, Anthony.show more",978-8646064567
"The Sun, the Sea and the Stars",Iulia Bochis,Hardback,2022,2352.48,Ebury Publishing,128 pages,"London, United Kingdom","['Popular Philosophy', 'Family & Relationships', 'Personal Development', 'Assertiveness, Motivation & Self-esteem', 'Mind, Body & Spirit', 'Mind, Body, Spirit: Thought & Practice', 'Mind, Body, Spirit: Meditation & Visualisation']","In this modern tale for the ages, hit Instagram illustrator @iuliastration takes us a on a healing journey.Following the story of a traveller as they move from darkness to light through the rhythm of the seasons, this is a deeply relatable quest for inner peace told through calming and original illustrations.Using ancient wisdom and philosophical quotes from around the world - from Rumi to Emily Dickinson - to anchor her striking visual storytelling, Iulia Bochis weaves a timeless story of personal growth and self-love.show more",978-9279985984
Sorrow and Bliss,Meg Mason,Paperback,2022,1077.38,Orion Publishing Co,368 pages,"London, United Kingdom","['Fiction Books', 'Contemporary Fiction', 'Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance', 'Family Psychology', 'Abnormal Psychology', 'Family & Relationships']","SHORTLISTED FOR THE WOMEN'S PRIZE FOR FICTIONTHE BOOK EVERYONE IS TALKING ABOUT'Just read it. It's unforgettable'India Knight, The Sunday Times'It is impossible to read this novel and not be moved. It is also impossible not to laugh out loud... Extraordinary'Guardian'Full of snappy one-liners but, at the same time, remarkably poignant'Craig Brown'Probably the best book you'll read this year'Mail on Sunday'Completely brilliant. I think every girl and woman should read it'Gillian Anderson'Exactly the book to read right now, when you need a laugh, but want to cry'Observer'The most wonderful, heartbreakingly gorgeous novel of the year'Elizabeth Day, author of Magpie'A raucously funny, beautifully written, emotion-bashing book'The Times'I was making a list of all the people I wanted to send it to, until I realised that I wanted to send it to everyone I know'Ann Patchett, author of The Dutch House'One of those ""read it in one sitting and tell all your friends"" kind of books'Evening Standard'Patrick Melrose meets Fleabag. Brilliant'Clare Chambers, author of Small PleasuresEveryone tells Martha Friel she is clever and beautiful, a brilliant writer who has been loved every day of her adult life by one man, her husband Patrick. A gift, her mother once said, not everybody gets.So why is everything broken? Why is Martha - on the edge of 40 - friendless, practically jobless and so often sad? And why did Patrick decide to leave?Maybe she is just too sensitive, someone who finds it harder to be alive than most people. Or maybe - as she has long believed - there is something wrong with her. Something that broke when a little bomb went off in her brain, at 17, and left her changed in a way that no doctor or therapist has ever been able to explain.Forced to return to her childhood home to live with her dysfunctional, bohemian parents (but without the help of her devoted, foul-mouthed sister Ingrid), Martha has one last chance to find out whether a life is ever too broken to fix - or whether, maybe, by starting over, she will get to write a better ending for herself.THE BOOK OF THE YEARAn instant Sunday Times bestseller and a book of the year for the Times and Sunday Times, Guardian, Observer, Independent, Mail on Sunday, Evening Standard, Spectator, Daily Express, Irish Times, Irish Examiner, Irish Daily Mail, Metro, Critic, Sydney Morning Herald, Los Angeles Times, Stylist, Red and Good Housekeepingshow more",978-2663640520
Pod,Laline Paull,Paperback,2023,1353.29,"Little, Brown Book Group",272 pages,"London, United Kingdom","['Fiction Books', 'Contemporary Fiction', 'Thriller Books', 'Thrillers', 'Political & Legal', 'Political & Legal']","LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTION, 2023'Laline Paull succeeds splendidly in rising to the most important literary challenge of our time - restoring voice and agency to other-than-human beings' Amitav Ghosh'A pacy, provocative tale of survival in a fast-changing marine landscape' Daily MailBestselling author Laline Paull returns with an immersive and transformative new novel of an ocean world - its extraordinary creatures, mysteries, and mythologies - that is increasingly haunted by the cruelty and ignorance of the human race.Ea has always felt like an outsider. She suffers from a type of deafness that means she cannot master the spinning rituals that unite her pod of spinner dolphins. When tragedy strikes her family and Ea feels she is partly to blame, she decides to make the ultimate sacrifice and leave.As Ea ventures into the vast, she discovers dangers everywhere, from lurking predators to strange objects floating in the water. But just as she is coming to terms with her solitude, a chance encounter with a group of arrogant bottlenoses will irrevocably alter the course of her life.In her terrifying, propulsive novel, Laline Paull explores the true meaning of family, belonging, sacrifice - the harmony and tragedy of the pod - within an ocean that is no longer the sanctuary it once was, and which reflects a world all too recognisable to our own.PRAISE FOR THE BEES'Beautifully written and unusual . . . A brave and original story that highlights our modern environmental crimes, and offers a fascinating glimpse into the intricacies of bee world' Sunday Times'One wild ride. A sensual, visceral mini-epic about timeless rituals and modern environmental disaster. Paull's heart-pounding novel wrenches us into a new world' Emma Donoghue'[A] gripping Cinderella/Arthurian tale with lush Keatsian adjectives' Margaret Atwood'An extraordinary feat of imagination' Madeline Millershow more",978-3894195360
Shoe Dog,Phil Knight,Paperback,2018,1108.26,Simon & Schuster Ltd,400 pages,"London, United Kingdom","['Biography: Business & Industry', 'Autobiography: Business & Industry', 'Prose: Non-fiction', 'Macroeconomics', 'Macroeconomics', 'Entrepreneurship', 'Management & Management Techniques', 'Manufacturing Industries', 'Textile Industries', 'Distributive Industries', 'Sport & Leisure Industries', 'Personal Development']","A refreshingly honest reminder of what the path to business success really looks like ... It's an amazing tale' Bill Gates'The best book I read last year was Shoe Dog, by Nike's Phil Knight. Phil is a very wise, intelligent and competitive fellow who is also a gifted storyteller' Warren BuffettIn 1962, fresh out of business school, Phil Knight borrowed $50 from his father and created a company with a simple mission: import high-quality, low-cost athletic shoes from Japan. Selling the shoes from the boot of his Plymouth, Knight grossed $8000 in his first year. Today, Nike's annual sales top $30 billion. In an age of start-ups, Nike is the ne plus ultra of all start-ups, and the swoosh has become a revolutionary, globe-spanning icon, one of the most ubiquitous and recognisable symbols in the world today.But Knight, the man behind the swoosh, has always remained a mystery. Now, for the first time, he tells his story. Candid, humble, wry and gutsy, he begins with his crossroads moment when at 24 he decided to start his own business. He details the many risks and daunting setbacks that stood between him and his dream - along with his early triumphs. Above all, he recalls how his first band of partners and employees soon became a tight-knit band of brothers. Together, harnessing the transcendent power of a shared mission, and a deep belief in the spirit of sport, they built a brand that changed everything.A memoir rich with insight, humour and hard-won wisdom, this book is also studded with lessons - about building something from scratch, overcoming adversity, and ultimately leaving your mark on the world.show more",978-5268868162
"Medical Medium Brain Saver Protocols, Cleanses & Recipes",Anthony William,Hardback,2022,3066.51,Hay House Inc,608 pages,"Carlsbad, United States","['Neurology & Clinical Neurophysiology', 'Complementary Medicine', 'Popular Medicine & Health', 'Coping With Illness', 'Complementary Therapies, Healing & Health']","Discover why millions rely on the #1 New York Times best-selling Medical Medium for health answers they can't find anywhere else.The second of two essential books on the brain offers customizable protocols, new recipes, heavy metal detox guidelines, cleanses, and cutting-edge information to protect yourself from 300+ symptoms and disorders.Your brain has abilities to heal beyond what medical research and science are aware of today. The brain remains a mystery to medicine when it comes to chronic illness and mental health struggles. Measuring deficits of the brain doesn't equate to knowing what's really wrong or what to do about it. What if you could access healing no one realized was possible?With Medical Medium Brain Saver Protocols, Cleanses & Recipes and its companion volume, Medical Medium Brain Saver, Anthony William sheds light on our brain and nervous system. Originally conceived as one life-saving book, Brain Saver had to be divided in two when it became too big to print. Each book now stands alone, so you can start with the one you need most-or read both for a full picture of your brain's health.In Medical Medium Brain Saver, Anthony William delivers powerful answers about the why-the sources of nearly 100 brain- and nervous system-related symptoms, diseases, and disorders. Here, in Medical Medium Brain Saver Protocols, Cleanses & Recipes, he provides even more compassionate, life-altering guidance to help you understand how to heal from a vast range of brain and neurological symptoms, diseases, and disorders, including anxiety, depression, burnout, OCD, autism, addiction, seizures, eating disorders, vagus nerve issues, cranial nerve problems, Alzheimer's, Parkinson's, ALS, and many more.With practical steps that you can customize to your unique needs, Brain Saver Protocols, Cleanses & Recipes offers:*       Details on everyday foods, supplements, and additives that are putting your brain at risk*       A comprehensive guide to the supplements that will support your healing process-and exactly how to use them for over 300 symptoms and conditions, with dosages included*       More than 100 recipes for delicious foods custom-created to support brain health*       Profoundly effective brain meditations and other healing techniques*       Cleanse protocols, guidelines for detoxing from heavy metal exposure, and recipes for all-new Medical Medium Brain Shot Therapy-quick hits of medicinals in liquid form, in combinations of ingredients designed to bring instant relief when the brain is under particular stressAnd when you want to understand your symptoms and conditions on a deeper level, you can turn to this book's companion, Medical Medium Brain Saver, for extensive details about what causes chronic physical and mental suffering-and how to further safeguard yourself.You're not lost anymore. You didn't bring your suffering upon yourself. Whether your mission is recovery or prevention, you've finally found the answers-the real answers-that you won't find anywhere else about how to save your brain before it's too late. Join the millions who have found relief with Medical Medium information so that you can finally live your best, most purposeful life.""As a functional-medicine doctor and a cardiologist, I see and help people with many chronic diseases. I use Anthony's teachings in one way or another with most of my patients. It has made me a better doctor. I can help people I couldn't help before.""- from the foreword by Alejandro Junger, M.D., New York Times best-selling authorshow more",978-8770902881
RecipeTin Eats: Dinner,Nagi Maehashi,Paperback,2023,3530.1,Pan Macmillan,376 pages,"London, United Kingdom","['General Cookery', 'Celebrity Chefs', 'National & Regional Cuisine']","150 dinner recipes. Fail-proof. Delicious. Addictive. The food you want to cook, eat and share, night after night.Nagi Maehashi is Australia's favourite cook - and it's easy to see why. Her dishes are mouthwateringly delicious, simple to understand, and even have a helpful video for every single recipe (just scan the QR code). Through her phenomenally popular online food site, RecipeTin Eats, she talks to millions of people around the world who tell her about the food they love: Nagi listens carefully and develops foolproof recipes that everyone wants to cook.Now, in her first cookbook, Nagi brings us the ultimate curation of new and favourite recipes - from comfort food to fast and easy food for weeknights, Mexican favourites, hearty dinner salads, Asian soups and noodles, and special treats for festive occasions.Featuring a photo and how-to video for every dish, readily available ingredients, Nagi's famously helpful notes, and Dozer, Nagi's best-loved food testing dog, this is a kitchen-shelf must-have for the novice cook, the expert seeking to perfect their technique (straight to the Beef Wellington!), and everyone in between.show more",978-2353888064
The Stranger,Albert Camus,Paperback,2016,1115.3,Random House USA Inc,144 pages,"New York, United States","['Contemporary Fiction', 'Classic Books & Novels']","With the intrigue of a psychological thriller, The Stranger--Camus's masterpiece--gives us the story of an ordinary man unwittingly drawn into a senseless murder on an Algerian beach. With an Introduction by Peter Dunwoodie; translated by Matthew Ward.Behind the subterfuge, Camus explores what he termed ""the nakedness of man faced with the absurd"" and describes the condition of reckless alienation and spiritual exhaustion that characterized so much of twentieth-century life.""The Stranger is a strikingly modern text and Matthew Ward's translation will enable readers to appreciate why Camus's stoical anti-hero and ­devious narrator remains one of the key expressions of a postwar Western malaise, and one of the cleverest exponents of a literature of ambiguity."" -from the Introduction by Peter DunwoodieFirst published in 1946; now in translation by Matthew Ward.show more",978-3692065370
Enchantment,Katherine May,Hardback,2023,1755.98,Faber & Faber,240 pages,"London, United Kingdom","['Memoirs', 'Personal Development', 'Mind, Body, Spirit: Thought & Practice', 'Natural History Books']","A balm for our times from the internationally bestselling author of Wintering.Our sense of enchantment is not only sparked by grand things. The awe-inspiring, the numinous, is all around us, all the time. It is transformed by our deliberate attention. The magic is of our own conjuring.'A total joy . . . Thoughtful, patient and beautifully written, like walking with a friend as dusk settles, this is the book your soul needs right now.'CARIAD LLOYD'Beautifully written.'PHILIPPA PERRYFeeling bone-tired, anxious and overwhelmed by the rolling news cycle and the pandemic age, Katherine May seeks to unravel the threads of a life wound too tightly. Could there be another way to live - one that feels more meaningful, more grounded in the places beneath our feet? One that would allow us to feel more connected, more rested and at ease, even as seismic changes unfold on the planet?Craving a different path, May explores the restorative properties of the natural world and begins to rekindle her sense of wonder. It is a journey that takes her from sacred wells to wild moors, from cradling seas to starfalls. Through deliberate attention and ritual, she finds nourishment and a more hopeful relationship to the world around her.Enchantment is an invitation to each of us to experience life in all its sensual complexity and to find the beauty waiting for us there.Praise for Wintering:'A beautiful, gentle exploration of the dark season of life and the light of spring that eventually follows.'RAYNOR WINN'A book for the soul.'CAITLIN MORANshow more",978-6048201498
Escape from Mr. Lemoncello's Library,Chris Grabenstein,Paperback,2014,1137.26,Random House USA Inc,336 pages,"New York, United States","[""Children's Fiction"", ""Children's General Story Books"", 'Adventure Books for Kids', 'Mystery Books for Kids']","Can you find your way out of what James Patterson calls the ""coolest library in the world""? Join gamer-fan Kyle Keeley as he competes in the escape game of a lifetime!From the coauthor of I Funny and Max Einstein--and with 100+ weeks on the the New York Times Times bestseller list--the LEMONCELLO books are laugh-out-loud, puzzle-packed, MUST-READS for classrooms and homes across America.When Kyle Keeley learns that the world's world's most famous game maker, Luigi Lemoncello, has designed the town's new library and is having an invitation-only lock-in on opening night, Kyle is determined to be there! But the tricky part isn't getting into the library--it's getting out. Because when morning comes, the doors stay locked. Kyle and the other kids must catch every clue and solve every puzzle to find the hidden escape route!Enjoy bonus content in the back--extra puzzles, an author Q & A, and more! And don't miss the puzzle-packed sequels: Mr. Lemoncello's Library Olympics, Mr. Lemoncello's Great Library Race, Mr. Lemoncello's All-Star Breakout Game,  and Mr. Lemoncello and the Titanium Ticket!44 STATE AWARD LISTS AND COUNTING100+ WEEKS ON THE NEW YORK TIMES BESTSELLER LIST* ""A worthy successor to the original madman puzzle-master himself, Willy Wonka."" --Booklist,  starred reviewshow more",978-5638927781
